numtc,step,date,lon,lat,vomax,vmax,pmin,oprel
1,1,1973-05-18 06:00:00,-84.6,10.0,17.74,9.654,1010.58,0.0
1,2,1973-05-18 12:00:00,-83.0,11.6,20.42,10.053,1010.69,0.0
1,3,1973-05-18 18:00:00,-83.4,10.4,35.92,9.988,1009.58,0.0
1,4,1973-05-19 00:00:00,-84.4,11.2,26.45,9.592,1009.34,0.0
1,5,1973-05-19 06:00:00,-84.6,11.0,24.73,9.21,1009.4,0.0
1,6,1973-05-19 12:00:00,-84.6,9.6,64.47,10.455,1009.23,0.0
1,7,1973-05-19 18:00:00,-83.8,10.6,44.27,12.14,1007.95,0.0
1,8,1973-05-20 00:00:00,-83.8,12.2,37.35,12.279,1008.15,0.0
1,9,1973-05-20 06:00:00,-84.2,11.8,68.62,13.803,1007.57,0.0
1,10,1973-05-20 12:00:00,-84.0,12.0,59.96,14.353,1007.13,0.0
1,11,1973-05-20 18:00:00,-84.2,11.6,70.48,12.973,1005.93,0.0
1,12,1973-05-21 00:00:00,-83.6,11.6,80.99,16.25,1004.69,0.0
1,13,1973-05-21 06:00:00,-83.6,12.0,111.62,17.749,1001.42,0.0
1,14,1973-05-21 12:00:00,-83.8,12.2,125.12,18.239,999.92,0.0
1,15,1973-05-21 18:00:00,-83.6,12.4,124.38,19.687,998.93,0.0
1,16,1973-05-22 00:00:00,-83.6,12.8,143.99,20.753,997.91,0.0
1,17,1973-05-22 06:00:00,-83.4,13.2,150.23,22.977,995.33,1.0
1,18,1973-05-22 12:00:00,-83.2,14.0,149.2,24.281,995.01,1.0
1,19,1973-05-22 18:00:00,-83.2,15.2,138.67,24.802,994.05,1.0
1,20,1973-05-23 00:00:00,-83.2,15.8,172.35,29.498,990.55,1.0
1,21,1973-05-23 06:00:00,-82.8,17.0,224.57,30.165,986.73,1.0
1,22,1973-05-23 12:00:00,-82.4,18.0,207.02,29.865,986.87,0.0
1,23,1973-05-23 18:00:00,-82.0,18.8,138.66,27.07,991.26,0.0
1,24,1973-05-24 00:00:00,-81.8,19.8,95.41,24.1,994.53,0.0
1,25,1973-05-24 06:00:00,-81.4,20.6,91.95,23.821,994.8,0.0
1,26,1973-05-24 12:00:00,-81.0,21.4,100.21,23.327,995.63,0.0
1,27,1973-05-24 18:00:00,-80.0,21.6,87.87,21.181,998.15,0.0
1,28,1973-05-25 00:00:00,-79.0,22.6,95.11,18.245,1000.86,0.0
1,29,1973-05-25 06:00:00,-79.0,23.0,66.49,17.36,1000.7,0.0
1,30,1973-05-25 12:00:00,-78.0,23.2,44.92,17.517,1003.03,0.0
1,31,1973-05-25 18:00:00,-75.8,24.2,57.19,18.764,1003.75,0.0
1,32,1973-05-26 00:00:00,-73.8,25.2,99.48,17.655,1002.16,0.0
1,33,1973-05-26 06:00:00,-72.2,26.2,61.55,17.782,1001.5,0.0
1,34,1973-05-26 12:00:00,-71.4,27.2,55.77,18.218,1001.44,0.0
1,35,1973-05-26 18:00:00,-69.8,27.6,56.03,19.461,1000.51,0.0
1,36,1973-05-27 00:00:00,-67.8,28.6,81.68,19.887,999.7,0.0
2,1,1973-06-19 18:00:00,-92.8,11.8,12.29,5.42,1010.21,0.0
2,2,1973-06-20 00:00:00,-92.4,17.4,11.93,13.73,1007.4,0.0
2,3,1973-06-20 06:00:00,-92.2,22.8,12.53,12.907,1009.51,0.0
2,4,1973-06-20 12:00:00,-93.8,25.2,38.0,14.322,1009.65,0.0
2,5,1973-06-20 18:00:00,-94.4,25.8,48.45,16.221,1009.35,0.0
2,6,1973-06-21 00:00:00,-94.0,26.8,45.3,17.311,1006.63,0.0
2,7,1973-06-21 06:00:00,-94.6,27.0,67.24,18.596,1005.71,1.0
2,8,1973-06-21 12:00:00,-94.4,27.8,82.51,20.704,1001.83,1.0
2,9,1973-06-21 18:00:00,-93.6,28.4,98.34,24.89,1000.94,1.0
2,10,1973-06-22 00:00:00,-92.8,28.8,134.99,27.104,996.95,1.0
3,1,1973-06-20 12:00:00,-92.2,6.6,42.34,11.494,1010.0,0.0
3,2,1973-06-20 18:00:00,-86.4,6.4,47.27,11.661,1010.12,0.0
3,3,1973-06-21 00:00:00,-83.8,6.2,26.69,9.796,1009.34,0.0
3,4,1973-06-21 06:00:00,-79.4,6.0,31.9,10.14,1009.48,0.0
3,5,1973-06-21 12:00:00,-78.6,6.2,38.47,9.369,1009.8,0.0
3,6,1973-06-21 18:00:00,-78.0,6.4,41.33,9.343,1009.6,0.0
3,7,1973-06-22 00:00:00,-77.4,7.0,36.73,8.72,1009.16,0.0
3,8,1973-06-22 06:00:00,-73.6,8.2,26.43,13.423,1009.15,0.0
3,9,1973-06-22 12:00:00,-70.8,10.0,21.66,10.815,1011.04,0.0
3,10,1973-06-22 18:00:00,-70.4,10.0,20.5,10.288,1008.14,0.0
3,11,1973-06-23 00:00:00,-73.6,11.4,25.47,12.899,1010.04,0.0
3,12,1973-06-23 06:00:00,-78.2,15.2,23.71,15.485,1009.4,0.0
3,13,1973-06-23 12:00:00,-80.6,16.2,19.58,13.805,1009.21,0.0
3,14,1973-06-23 18:00:00,-81.6,17.0,25.66,13.89,1008.98,0.0
3,15,1973-06-24 00:00:00,-83.2,15.6,36.45,14.333,1007.72,0.0
3,16,1973-06-24 06:00:00,-84.0,14.6,46.92,13.375,1006.24,0.0
3,17,1973-06-24 12:00:00,-83.6,14.2,40.84,10.876,1006.91,0.0
3,18,1973-06-24 18:00:00,-83.2,14.2,32.28,12.508,1007.0,0.0
3,19,1973-06-25 00:00:00,-83.0,15.0,33.52,13.569,1006.61,0.0
3,20,1973-06-25 06:00:00,-83.0,15.8,34.84,14.279,1004.86,0.0
3,21,1973-06-25 12:00:00,-82.8,17.0,39.38,14.071,1004.21,0.0
3,22,1973-06-25 18:00:00,-83.6,18.2,41.13,14.734,1003.71,0.0
3,23,1973-06-26 00:00:00,-84.8,18.6,43.4,15.927,1002.47,0.0
3,24,1973-06-26 06:00:00,-85.6,17.2,44.91,18.15,1000.16,0.0
3,25,1973-06-26 12:00:00,-85.2,17.2,63.93,18.831,997.71,1.0
3,26,1973-06-26 18:00:00,-85.0,17.6,78.58,22.438,994.05,1.0
3,27,1973-06-27 00:00:00,-85.2,18.2,70.86,24.739,991.07,1.0
3,28,1973-06-27 06:00:00,-84.8,19.0,95.91,31.26,986.35,1.0
3,29,1973-06-27 12:00:00,-84.8,20.0,121.3,37.699,977.77,1.0
3,30,1973-06-27 18:00:00,-84.4,21.2,175.28,49.956,965.43,1.0
3,31,1973-06-28 00:00:00,-84.2,22.8,190.48,44.924,959.29,1.0
3,32,1973-06-28 06:00:00,-83.8,24.0,218.49,47.734,951.22,1.0
3,33,1973-06-28 12:00:00,-83.4,25.2,237.26,55.594,940.64,1.0
3,34,1973-06-28 18:00:00,-83.0,26.6,279.17,56.796,934.51,1.0
3,35,1973-06-29 00:00:00,-82.0,27.6,267.03,41.869,945.08,1.0
3,36,1973-06-29 06:00:00,-81.2,28.6,167.21,44.13,958.28,1.0
3,37,1973-06-29 12:00:00,-80.2,29.6,157.51,41.683,959.02,1.0
4,1,1973-06-26 06:00:00,-34.0,7.4,26.87,10.051,1013.1,0.0
