numtc,step,date,lon,lat,vomax,vmax,pmin,oprel
1,1,1966-06-04 06:00:00,-26.6,6.0,24.63,8.968,1014.36,0.0
1,2,1966-06-04 12:00:00,-27.0,7.0,18.26,10.183,1015.18,0.0
1,3,1966-06-04 18:00:00,-30.8,7.4,16.09,9.179,1014.32,0.0
1,4,1966-06-05 00:00:00,-32.4,8.2,10.04,9.667,1014.61,0.0
1,5,1966-06-05 06:00:00,-33.8,8.6,15.44,11.025,1013.6,0.0
1,6,1966-06-05 12:00:00,-36.0,8.6,31.98,12.106,1014.63,0.0
1,7,1966-06-05 18:00:00,-38.0,8.8,54.47,13.122,1012.69,0.0
1,8,1966-06-06 00:00:00,-39.6,8.8,54.06,13.74,1012.5,0.0
1,9,1966-06-06 06:00:00,-41.0,9.2,63.29,14.877,1010.41,0.0
1,10,1966-06-06 12:00:00,-42.4,9.8,56.97,15.93,1011.45,0.0
1,11,1966-06-06 18:00:00,-43.8,10.0,55.06,15.919,1010.46,0.0
1,12,1966-06-07 00:00:00,-45.4,10.2,57.36,16.154,1011.42,0.0
1,13,1966-06-07 06:00:00,-46.8,10.4,72.42,16.498,1009.39,0.0
1,14,1966-06-07 12:00:00,-48.2,10.8,82.77,18.793,1010.05,1.0
1,15,1966-06-07 18:00:00,-49.8,11.0,111.34,21.233,1008.47,1.0
1,16,1966-06-08 00:00:00,-51.4,11.4,136.13,22.432,1008.01,1.0
1,17,1966-06-08 06:00:00,-53.0,11.6,129.21,22.742,1007.25,1.0
1,18,1966-06-08 12:00:00,-54.8,11.8,111.31,22.412,1008.76,1.0
1,19,1966-06-08 18:00:00,-56.2,12.0,106.15,21.848,1009.38,1.0
1,20,1966-06-09 00:00:00,-57.8,12.2,106.35,20.838,1009.62,1.0
1,21,1966-06-09 06:00:00,-59.6,12.4,100.64,21.792,1008.67,1.0
1,22,1966-06-09 12:00:00,-61.4,12.4,81.25,20.752,1010.59,0.0
1,23,1966-06-09 18:00:00,-63.2,12.8,76.79,20.024,1010.87,0.0
1,24,1966-06-10 00:00:00,-65.4,13.0,44.81,17.152,1012.29,0.0
1,25,1966-06-10 06:00:00,-67.2,13.4,33.41,12.993,1012.52,0.0
1,26,1966-06-10 12:00:00,-69.0,13.8,20.94,13.21,1013.23,0.0
1,27,1966-06-10 18:00:00,-71.0,13.8,15.31,13.995,1009.69,0.0
1,28,1966-06-11 00:00:00,-74.2,11.2,32.17,13.737,1009.05,0.0
1,29,1966-06-11 06:00:00,-73.6,8.2,33.1,12.427,1009.46,0.0
1,30,1966-06-11 12:00:00,-73.6,8.4,32.15,4.817,1011.28,0.0
1,31,1966-06-11 18:00:00,-70.4,9.8,24.04,11.738,1008.07,0.0
1,32,1966-06-12 00:00:00,-67.6,10.4,24.5,14.726,1009.46,0.0
1,33,1966-06-12 06:00:00,-67.8,10.4,18.3,11.941,1010.8,0.0
2,1,1966-06-19 12:00:00,-95.2,19.2,32.23,8.485,1011.84,0.0
2,2,1966-06-19 18:00:00,-94.6,16.6,22.31,8.668,1010.0,0.0
2,3,1966-06-20 00:00:00,-92.0,15.8,21.04,9.374,1010.61,0.0
2,4,1966-06-20 06:00:00,-92.2,16.0,32.05,10.475,1011.51,0.0
2,5,1966-06-20 12:00:00,-89.8,13.8,17.34,8.869,1010.02,0.0
2,6,1966-06-20 18:00:00,-84.6,10.2,18.29,5.281,1008.56,0.0
2,7,1966-06-21 00:00:00,-82.4,8.0,42.4,8.982,1008.82,0.0
2,8,1966-06-21 06:00:00,-81.4,8.6,41.16,7.457,1008.34,0.0
2,9,1966-06-21 12:00:00,-82.2,8.8,27.59,9.639,1008.66,0.0
2,10,1966-06-21 18:00:00,-80.6,8.8,23.24,7.537,1008.5,0.0
2,11,1966-06-22 00:00:00,-82.2,9.0,27.36,9.654,1007.98,0.0
2,12,1966-06-22 06:00:00,-86.2,12.4,48.05,16.267,1006.54,0.0
2,13,1966-06-22 12:00:00,-86.4,15.6,26.81,17.873,1006.78,0.0
2,14,1966-06-22 18:00:00,-86.8,16.6,35.66,16.608,1006.47,0.0
2,15,1966-06-23 00:00:00,-88.2,15.6,43.04,14.435,1004.38,0.0
2,16,1966-06-23 06:00:00,-86.4,12.6,51.26,15.318,1003.41,0.0
2,17,1966-06-23 12:00:00,-86.6,12.8,45.59,14.422,1003.43,0.0
2,18,1966-06-23 18:00:00,-87.4,13.6,36.1,16.941,1003.32,0.0
2,19,1966-06-24 00:00:00,-88.2,15.6,41.45,18.473,1003.25,0.0
2,20,1966-06-24 06:00:00,-87.2,16.4,46.73,17.273,1001.98,0.0
2,21,1966-06-24 12:00:00,-88.4,15.6,63.45,16.948,1001.59,0.0
2,22,1966-06-24 18:00:00,-88.4,15.8,51.38,16.165,1002.07,0.0
2,23,1966-06-25 00:00:00,-88.4,16.6,48.95,17.268,1002.02,0.0
2,24,1966-06-25 06:00:00,-87.8,17.4,66.67,17.766,1001.21,0.0
2,25,1966-06-25 12:00:00,-88.2,18.0,57.46,15.373,1002.07,0.0
2,26,1966-06-25 18:00:00,-88.6,18.2,51.6,16.134,1002.2,0.0
2,27,1966-06-26 00:00:00,-87.2,18.0,45.5,15.974,1002.57,0.0
2,28,1966-06-26 06:00:00,-87.0,19.2,62.11,20.02,1000.85,1.0
2,29,1966-06-26 12:00:00,-87.4,20.2,80.34,21.705,998.9,1.0
2,30,1966-06-26 18:00:00,-87.2,21.2,91.2,22.59,998.24,1.0
2,31,1966-06-27 00:00:00,-87.6,21.6,104.23,24.724,995.68,1.0
2,32,1966-06-27 06:00:00,-87.6,22.4,113.35,25.693,993.01,1.0
2,33,1966-06-27 12:00:00,-87.6,23.4,125.79,28.744,989.0,1.0
2,34,1966-06-27 18:00:00,-87.8,24.2,130.87,30.694,985.25,1.0
2,35,1966-06-28 00:00:00,-88.0,24.6,142.2,32.66,982.26,1.0
2,36,1966-06-28 06:00:00,-88.2,25.4,130.49,32.178,980.28,1.0
2,37,1966-06-28 12:00:00,-88.6,26.0,156.75,33.179,976.82,1.0
2,38,1966-06-28 18:00:00,-88.8,26.4,164.93,34.706,974.7,1.0
2,39,1966-06-29 00:00:00,-89.2,27.2,174.15,38.08,971.44,0.0
2,40,1966-06-29 06:00:00,-89.6,27.4,185.7,39.375,968.39,0.0
2,41,1966-06-29 12:00:00,-89.4,27.6,208.73,39.422,964.17,0.0
2,42,1966-06-29 18:00:00,-89.2,28.0,228.26,41.481,961.6,0.0
2,43,1966-06-30 00:00:00,-88.8,28.4,229.3,44.401,959.13,0.0
2,44,1966-06-30 06:00:00,-88.4,28.8,239.8,42.37,955.93,0.0
2,45,1966-06-30 12:00:00,-87.6,29.2,221.85,46.429,953.01,0.0
3,1,1966-07-06 06:00:00,-57.0,10.6,11.39,11.348,1013.66,0.0
3,2,1966-07-06 12:00:00,-55.6,10.8,28.17,13.248,1012.25,0.0
3,3,1966-07-06 18:00:00,-50.8,9.0,27.43,8.097,1013.65,0.0
3,4,1966-07-07 00:00:00,-49.8,8.4,60.02,11.689,1011.75,0.0
3,5,1966-07-07 06:00:00,-45.6,9.2,22.55,12.64,1012.17,0.0
3,6,1966-07-07 12:00:00,-40.6,9.2,20.94,12.638,1010.56,0.0
3,7,1966-07-07 18:00:00,-39.4,9.2,31.98,11.311,1012.1,0.0
3,8,1966-07-08 00:00:00,-40.0,9.8,39.9,11.286,1011.97,0.0
3,9,1966-07-08 06:00:00,-44.4,10.0,10.73,11.521,1013.96,0.0
3,10,1966-07-08 12:00:00,-46.0,10.0,11.69,8.492,1012.08,0.0
3,11,1966-07-08 18:00:00,-48.2,6.8,25.8,8.899,1013.32,0.0
3,12,1966-07-09 00:00:00,-49.0,7.2,34.74,8.054,1011.93,0.0
3,13,1966-07-09 06:00:00,-50.0,8.2,18.63,12.548,1012.43,0.0
3,14,1966-07-09 12:00:00,-52.8,11.0,15.79,12.961,1012.04,0.0
3,15,1966-07-09 18:00:00,-54.2,11.8,30.64,12.468,1013.07,0.0
3,16,1966-07-10 00:00:00,-55.6,12.2,26.43,12.817,1012.15,0.0
3,17,1966-07-10 06:00:00,-56.8,12.8,34.4,12.419,1012.79,0.0
3,18,1966-07-10 12:00:00,-58.2,13.4,29.2,12.206,1012.08,0.0
3,19,1966-07-10 18:00:00,-59.8,14.0,39.32,13.389,1013.34,0.0
3,20,1966-07-11 00:00:00,-61.2,14.6,53.88,15.012,1011.64,0.0
3,21,1966-07-11 06:00:00,-62.4,15.0,60.04,15.615,1012.09,0.0
3,22,1966-07-11 12:00:00,-63.6,15.6,79.57,15.868,1010.29,0.0
3,23,1966-07-11 18:00:00,-65.0,16.2,81.06,16.8,1010.48,0.0
3,24,1966-07-12 00:00:00,-66.4,17.0,65.65,16.467,1009.65,0.0
3,25,1966-07-12 06:00:00,-67.8,17.6,59.44,14.705,1010.56,0.0
3,26,1966-07-12 12:00:00,-68.6,18.0,84.27,16.598,1008.5,0.0
3,27,1966-07-12 18:00:00,-69.8,18.6,74.51,13.327,1010.35,0.0
3,28,1966-07-13 00:00:00,-70.8,19.4,67.32,15.884,1010.88,0.0
3,29,1966-07-13 06:00:00,-72.0,20.2,63.37,17.036,1010.38,0.0
3,30,1966-07-13 12:00:00,-73.8,20.8,58.85,16.352,1008.45,0.0
3,31,1966-07-13 18:00:00,-75.2,21.4,61.25,16.565,1008.52,0.0
3,32,1966-07-14 00:00:00,-76.4,22.0,60.5,15.606,1008.14,0.0
3,33,1966-07-14 06:00:00,-77.4,22.0,63.61,14.519,1007.14,0.0
3,34,1966-07-14 12:00:00,-78.2,22.4,56.91,14.918,1006.38,0.0
3,35,1966-07-14 18:00:00,-78.6,23.2,61.26,15.262,1006.54,0.0
3,36,1966-07-15 00:00:00,-79.2,23.6,79.99,16.385,1004.56,0.0
3,37,1966-07-15 06:00:00,-79.8,23.8,94.25,18.108,1003.06,0.0
3,38,1966-07-15 12:00:00,-80.4,23.8,122.66,19.44,998.88,0.0
3,39,1966-07-15 18:00:00,-80.8,24.0,138.24,23.186,996.15,1.0
3,40,1966-07-16 00:00:00,-81.4,24.4,156.09,23.694,992.82,1.0
3,41,1966-07-16 06:00:00,-82.2,24.4,182.23,25.071,990.29,1.0
3,42,1966-07-16 12:00:00,-83.2,24.6,223.93,29.103,985.16,1.0
3,43,1966-07-16 18:00:00,-84.4,24.8,211.72,30.014,984.04,1.0
3,44,1966-07-17 00:00:00,-85.4,24.8,211.01,31.273,983.67,1.0
3,45,1966-07-17 06:00:00,-86.4,25.0,203.9,32.024,982.96,1.0
3,46,1966-07-17 12:00:00,-87.6,25.0,217.33,37.615,980.27,1.0
3,47,1966-07-17 18:00:00,-88.6,25.0,247.38,40.898,972.94,1.0
3,48,1966-07-18 00:00:00,-89.8,25.0,296.98,43.856,967.16,1.0
3,49,1966-07-18 06:00:00,-90.6,25.0,330.61,49.816,957.99,1.0
3,50,1966-07-18 12:00:00,-91.8,25.2,375.96,57.084,950.35,1.0
3,51,1966-07-18 18:00:00,-93.0,25.2,379.35,59.452,944.94,1.0
3,52,1966-07-19 00:00:00,-94.4,25.4,353.62,55.039,948.06,1.0
3,53,1966-07-19 06:00:00,-95.4,25.4,369.4,55.227,943.07,1.0
3,54,1966-07-19 12:00:00,-96.6,25.2,365.84,56.418,942.35,1.0
3,55,1966-07-19 18:00:00,-97.6,25.2,386.19,52.505,950.25,1.0
3,56,1966-07-20 00:00:00,-98.8,25.0,215.38,26.64,984.51,1.0
3,57,1966-07-20 06:00:00,-99.4,24.2,51.71,14.168,1000.86,0.0
3,58,1966-07-20 12:00:00,-97.2,20.6,32.83,16.37,1005.07,0.0
3,59,1966-07-20 18:00:00,-95.6,17.0,26.54,11.622,1007.29,0.0
3,60,1966-07-21 00:00:00,-95.8,16.4,18.04,6.497,1009.45,0.0
3,61,1966-07-21 06:00:00,-95.8,16.4,18.13,9.988,1008.03,0.0
3,62,1966-07-21 12:00:00,-92.8,19.0,21.36,11.517,1011.18,0.0
4,1,1966-08-06 18:00:00,-4.8,19.6,13.29,10.026,1001.31,0.0
4,2,1966-08-07 00:00:00,-9.0,20.0,28.6,12.14,1002.12,0.0
4,3,1966-08-07 06:00:00,-10.4,21.0,26.21,10.841,1005.55,0.0
4,4,1966-08-07 12:00:00,-14.6,20.4,20.27,11.951,1004.86,0.0
4,5,1966-08-07 18:00:00,-15.2,18.2,21.4,14.293,1003.99,0.0
4,6,1966-08-08 00:00:00,-17.2,18.0,27.08,13.248,1009.56,0.0
4,7,1966-08-08 06:00:00,-19.2,17.6,23.7,11.603,1009.83,0.0
4,8,1966-08-08 12:00:00,-18.0,16.0,17.06,10.301,1009.12,0.0
4,9,1966-08-08 18:00:00,-16.8,16.4,20.59,12.027,1006.73,0.0
4,10,1966-08-09 00:00:00,-17.2,17.0,21.12,11.442,1010.39,0.0
